Emotion,Text,RoBERTa_Prediction,BERT_Prediction
disappointment,"I was really hoping this update would fix the background processing bottleneck, but it didn't.",disappointment,fear
excitement,"Wow, our throughput just doubled after implementing your microservices strategy!",surprise,joy
optimism,I am confident that this new microservice paradigm will solve our long-term scaling issues.,optimism,joy
surprise,Oh wow! I didn't expect the server response time to drop to five milliseconds!,surprise,joy
desire,Our team desperately needs a tool that can orchestrate multiple agents at once.,desire,joy
pride,Our engineering squad built this entire automated pipeline in less than forty-eight hours.,neutral,joy
sadness,It's really disheartening to see our deployment fail after spending weeks preparing it.,sadness,sadness
relief,"Whew, thank goodness the database backup restored perfectly without any data loss.",gratitude,joy
realization,"Ah, I see what's happening now! The environment variable wasn't getting injected properly.",realization,anger
annoyance,"The interface keeps refreshing every time I try to save a layout, it's getting irritating.",annoyance,anger
amusement,"Haha, that was a funny misunderstanding, I thought the server was down but it was unplugged!",amusement,surprise
curiosity,What kind of throughput optimization can we expect if we upgrade to the premium tier?,curiosity,joy
fear,I am terrified that a security breach might happen if we leave this port open.,fear,fear
love,"I absolutely love working with your development platform, it makes my life so easy.",love,joy
disapproval,I don't think deprecating that API version so quickly is a smart business decision.,disapproval,joy
love,"I absolutely love working with your development platform, it makes my life so easy.",love,joy
gratitude,"Thank you so much for hopping on a quick call to debug this with me, you saved my day.",gratitude,joy
disappointment,"I was really hoping this update would fix the background processing bottleneck, but it didn't.",disappointment,fear
admiration,Your customer success team has been absolutely incredible throughout this rollout.,admiration,joy
love,"I absolutely love working with your development platform, it makes my life so easy.",love,joy
admiration,Your customer success team has been absolutely incredible throughout this rollout.,admiration,joy
excitement,"Wow, our throughput just doubled after implementing your microservices strategy!",surprise,joy
desire,Our team desperately needs a tool that can orchestrate multiple agents at once.,desire,joy
neutral,The current server deployment is running on version two dot four dot zero.,neutral,joy
realization,"Ah, I see what's happening now! The environment variable wasn't getting injected properly.",realization,anger
gratitude,"Thank you so much for hopping on a quick call to debug this with me, you saved my day.",gratitude,joy
disgust,"Ugh, the messy code structure in this third-party SDK is absolutely repulsive.",disgust,anger
anger,This is completely unacceptable! Your API outage has been costing us thousands every hour!,disapproval,anger
annoyance,"The interface keeps refreshing every time I try to save a layout, it's getting irritating.",annoyance,anger
fear,I am terrified that a security breach might happen if we leave this port open.,fear,fear
nervousness,"My hand is shaking a bit as I hit deploy, I really hope this doesn't drop connections.",optimism,fear
fear,I am terrified that a security breach might happen if we leave this port open.,fear,fear
amusement,"Haha, that was a funny misunderstanding, I thought the server was down but it was unplugged!",amusement,surprise
desire,Our team desperately needs a tool that can orchestrate multiple agents at once.,desire,joy
anger,This is completely unacceptable! Your API outage has been costing us thousands every hour!,disapproval,anger
confusion,"Wait, if the database connection failed, why is the frontend reporting a status 200?",curiosity,fear
disappointment,"I was really hoping this update would fix the background processing bottleneck, but it didn't.",disappointment,fear
remorse,I am deeply sorry for causing that service disruption by pushing the unverified code branch.,remorse,sadness
excitement,"Wow, our throughput just doubled after implementing your microservices strategy!",surprise,joy
optimism,I am confident that this new microservice paradigm will solve our long-term scaling issues.,optimism,joy
disgust,"Ugh, the messy code structure in this third-party SDK is absolutely repulsive.",disgust,anger
embarrassment,"Oh no, I realize now that I was running the test script against our production database, my bad.",realization,anger
realization,"Ah, I see what's happening now! The environment variable wasn't getting injected properly.",realization,anger
pride,Our engineering squad built this entire automated pipeline in less than forty-eight hours.,neutral,joy
grief,"Our business took a massive, devastating blow when that unbacked database corrupted.",sadness,sadness
disgust,"Ugh, the messy code structure in this third-party SDK is absolutely repulsive.",disgust,anger
amusement,"Haha, that was a funny misunderstanding, I thought the server was down but it was unplugged!",amusement,surprise
pride,Our engineering squad built this entire automated pipeline in less than forty-eight hours.,neutral,joy
surprise,Oh wow! I didn't expect the server response time to drop to five milliseconds!,surprise,joy
annoyance,"The interface keeps refreshing every time I try to save a layout, it's getting irritating.",annoyance,anger
surprise,Oh wow! I didn't expect the server response time to drop to five milliseconds!,surprise,joy
neutral,The current server deployment is running on version two dot four dot zero.,neutral,joy
joy,"Everything is running so smoothly now, our whole team is incredibly happy!",joy,joy
grief,"Our business took a massive, devastating blow when that unbacked database corrupted.",sadness,sadness
love,"I absolutely love working with your development platform, it makes my life so easy.",love,joy
disgust,"Ugh, the messy code structure in this third-party SDK is absolutely repulsive.",disgust,anger
relief,"Whew, thank goodness the database backup restored perfectly without any data loss.",gratitude,joy
caring,"Please take your time looking into the logs, I know your team is under a lot of pressure today.",caring,joy
relief,"Whew, thank goodness the database backup restored perfectly without any data loss.",gratitude,joy
joy,"Everything is running so smoothly now, our whole team is incredibly happy!",joy,joy
embarrassment,"Oh no, I realize now that I was running the test script against our production database, my bad.",realization,anger
joy,"Everything is running so smoothly now, our whole team is incredibly happy!",joy,joy
approval,"Yes, that resolution plan sounds perfectly reasonable to me.",approval,joy
amusement,"Haha, that was a funny misunderstanding, I thought the server was down but it was unplugged!",amusement,surprise
grief,"Our business took a massive, devastating blow when that unbacked database corrupted.",sadness,sadness
disapproval,I don't think deprecating that API version so quickly is a smart business decision.,disapproval,joy
embarrassment,"Oh no, I realize now that I was running the test script against our production database, my bad.",realization,anger
neutral,The current server deployment is running on version two dot four dot zero.,neutral,joy
optimism,I am confident that this new microservice paradigm will solve our long-term scaling issues.,optimism,joy
excitement,"Wow, our throughput just doubled after implementing your microservices strategy!",surprise,joy
surprise,Oh wow! I didn't expect the server response time to drop to five milliseconds!,surprise,joy
desire,Our team desperately needs a tool that can orchestrate multiple agents at once.,desire,joy
surprise,Oh wow! I didn't expect the server response time to drop to five milliseconds!,surprise,joy
realization,"Ah, I see what's happening now! The environment variable wasn't getting injected properly.",realization,anger
disapproval,I don't think deprecating that API version so quickly is a smart business decision.,disapproval,joy
